tconst;title;primaryTitle;startYear;genres;production_countries;popularity;poster_path;actors;directors;averageRating;numVotes;combined_features;index
tt5131890;If You Listen Carefully;If You Listen Carefully;2015;Documentary,Drama;Chile;0.6;/eDRi87fS1RHd0nUxqCaWDKSBbTO.jpg;;Nicolás Guzmán;8.9;8;If You Listen Carefully Documentary,Drama  Nicolás Guzmán;13
tt1933535;AC/DC: Live at River Plate;AC/DC: Live at River Plate;2009;Documentary,Music;Argentina, United States of America;5.695;/cfAxBsSkcbpOVla9VhAFzlXYPSo.jpg;;David Mallet;8.8;960;AC/DC: Live at River Plate Documentary,Music  David Mallet;14
tt11278140;Fandango at the Wall;Fandango at the Wall;2020;Documentary,Music;Mexico, United States of America;1.679;/c7GV6gjHmsU5fONqXOwUAiDgpKs.jpg;;Varda Bar-Kar;8.8;113;Fandango at the Wall Documentary,Music  Varda Bar-Kar;15
tt14006298;Soy Luna: The Last Concert;Soy Luna: The Last Concert;2021;Comedy,Family,Music;Argentina;6.474;/wKw7suet4zEZFOPul03qBEKriUV.jpg;;Carolina María García Fernández;8.8;105;Soy Luna: The Last Concert Comedy,Family,Music  Carolina María García Fernández;16
tt0985667;Salud;Salud;2006;Documentary;Cuba;0.6;/1Ii0YmxGXEeiA8BTzz3X11qoUkw.jpg;;Connie Field;8.8;34;Salud Documentary  Connie Field;17
tt5699950;Why Just One?;Why Just One?;2016;Documentary;Costa Rica;0.6;/agIgkJI9RbLZu2Ne59K76Cjtgl.jpg;;Michael Colin;8.8;24;Why Just One? Documentary  Michael Colin;18
tt4879102;Films Confiscated from a French Brothel;Films Confiscated from a French Brothel;2021;Comedy,Crime,Drama;Peru, United Kingdom, United States of America;2.103;/fb42YJp1heQbdYHTEoyOA4lE8NY.jpg;Patrick Carney Junior, Tom Christoffel, Barry Cortez, Una Debrovnik, Laura Fodera, Ross Heath, Nick Jungers, Kaceface, Rahel Kapsaski, Selene Kapsaski;Selene Kapsaski, Gabriella Kapsaski, Bob Moricz, Drusilla Phillips;8.8;20;Films Confiscated from a French Brothel Comedy,Crime,Drama Patrick Carney Junior, Tom Christoffel, Barry Cortez, Una Debrovnik, Laura Fodera, Ross Heath, Nick Jungers, Kaceface, Rahel Kapsaski, Selene Kapsaski Selene Kapsaski, Gabriella Kapsaski, Bob Moricz, Drusilla Phillips;19
tt14406956;Father Pablo;Father Pablo;2021;Drama;Mexico;0.6;/8BeF05H5djO13jlI5yeAPwNio08.jpg;Luisa Almaguer, Antón Araiza, Juan Ignacio Aranda, Lilo Durazo, Ana Gonzalez Bello, José Luis Isoard Arrubarrena, Pablo Marines, Rafael Martínez Sánchez, José Miguel Puig, Carmen Ramos;José Luis Isoard Arrubarrena;8.8;10;Father Pablo Drama Luisa Almaguer, Antón Araiza, Juan Ignacio Aranda, Lilo Durazo, Ana Gonzalez Bello, José Luis Isoard Arrubarrena, Pablo Marines, Rafael Martínez Sánchez, José Miguel Puig, Carmen Ramos José Luis Isoard Arrubarrena;20
tt13924810;Pink Lagoon;Pink Lagoon;2022;Drama;Mexico;0.6;/xoeDUSKTutEREJq9M3FT3GFzBWt.jpg;Monica Arce, Elsy Jimenez Falcon, Arturo de las Fuentes, Gerardo Oñate, Alondra Pavón;;8.8;9;Pink Lagoon Drama Monica Arce, Elsy Jimenez Falcon, Arturo de las Fuentes, Gerardo Oñate, Alondra Pavón ;21
tt4301034;By the Sea;By the Sea;2016;Crime,Drama;Dominican Republic;0.633;/dHWR6yrClB83L4fPRhLjkysKfnc.jpg;Sonny Kelly, Teo Terrero, Cheddy García, Richard Douglas, Lidia Ariza, Geovanny Jerez, Miguel Ángel Martínez, Antonio Melenciano, Luis Minervino, Esmailyn Morel;Bladimir Abud;8.7;104;By the Sea Crime,Drama Sonny Kelly, Teo Terrero, Cheddy García, Richard Douglas, Lidia Ariza, Geovanny Jerez, Miguel Ángel Martínez, Antonio Melenciano, Luis Minervino, Esmailyn Morel Bladimir Abud;22
